"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","there","just","one","know","love","babi","get","feel","dont","cant","let","make","want","ill","time"
"2","hey","ooh","your","now","know","heart","got","like","can","just","night","right","say","give","caus"
"3","tell","chorus","get","let","think","back","yeah","world","need","heart","keep","thing","way","never","your"
"4","find","ive","around","cant","girl","knew","everybodi","still","life","believ","long","face","never","will","babi"
"5","take","show","stay","dont","somebodi","wish","like","help","tri","done","play","see","tell","without","everyth"
"6","beauti","close","move","gonna","bye","forev","realli","day","fall","anoth","last","will","aint","cri","alway"
"7","world","made","babi","take","say","game","come","take","care","leav","set","day","hear","make","everi"
"8","mean","ever","caus","yeah","see","said","just","eye","tonight","home","yes","peopl","know","live","know"
"9","someth","someon","girl","light","wanna","time","let","hand","alon","away","danc","money","nothin","that","ive"
"10","thing","look","kiss","wanna","yeah","true","girl","children","lose","breath","get","hey","nobodi","heart","come"
"11","feel","your","hold","use","goodby","quit","good","noth","insid","wait","song","hand","one","promis","hot"
"12","mayb","see","rise","gone","anyth","tear","roll","rain","word","said","music","wanna","mistak","girl","got"
"13","show","eye","need","turn","dreamin","apart","now","need","place","straight","lost","pda","gotta","lie","movin"
"14","run","part","masquerad","end","realli","stop","back","yeah","chang","soldier","hey","mind","heartach","die","dream"
"15","head","thing","call","someth","best","know","parti","fall","save","shatter","eye","shout","dont","let","goe"
"16","way","start","gonna","mind","can","playin","youv","arm","wrong","thought","make","can","insid","break","chang"
"17","wont","left","wont","night","dream","start","weve","fight","listen","end","bodi","just","fire","honey","first"
"18","side","will","youll","best","tender","sometim","year","real","pleas","piec","fire","mani","matter","walk","share"
"19","true","touch","eye","treat","better","play","alright","pain","mine","left","one","chanc","apart","tri","christma"
"20","see","truth","feel","troubl","right","say","backstreet","wanna","hide","miss","time","funni","els","hurt","day"
